student_id,avg_job_rate,total_special_time,early_bird_rate,night_owl_rate,lib_visit_count,procrastination_index,delay_stability,avg_job_rate_scaled,total_special_time_scaled,early_bird_rate_scaled,night_owl_rate_scaled,procrastination_index_scaled,delay_stability_scaled,final_score,overall_rank_pct,target_label,diagnostic_report
200307700011,0.0,8996,1.0,0.0,2.0,0.5352719912776354,0.2836924826769178,0.0,-0.8872748126991884,7.121980500502118,-0.35574545007544334,0.0,0.0,6.234705687802929,0.9952,主动学习型,"【综合画像：主动学习型】（综合学习投入度居全校前 0.5%）
诊断归因：该生综合学习投入位于全校前20%，具有高度的内在自驱力。 具备良好的早起自律习惯（早鸟型）。 任务响应迅速，不拖沓，学习状态极佳。"
pjvyzvfj974,0.0,4555,0.0,0.0,0.0,0.5352719912776354,0.2836924826769178,0.0,-0.9348519557882318,-0.4536181586933362,-0.35574545007544334,0.0,0.0,-1.388470114481568,0.212,普通型,"【综合画像：普通型】（综合学习投入度居全校前 78.8%）
诊断归因：该生学习投入度保持在全体学生的常态均值区间。 线上学习任务完成度还有提升空间，建议辅导员适当督促。"
pjvyzvfj977,0.0,1203,0.0,0.0,0.0,0.5352719912776354,0.2836924826769178,0.0,-0.9707624677527608,-0.4536181586933362,-0.35574545007544334,0.0,0.0,-1.424380626446097,0.2,被动应付型,"【综合画像：被动应付型】（综合学习投入度居全校前 80.0%）
诊断归因：该生综合学习投入位于全校后20%，内在驱动力呈现不足迹象。 线下晨读习惯缺失且线上任务参与度低于平均水平，存在学业边缘化风险。"
pjvyzvfj989,0.0,0,0.0,0.0,0.0,0.5352719912776354,0.2836924826769178,0.0,-0.9836503991051857,-0.4536181586933362,-0.35574545007544334,0.0,0.0,-1.437268557798522,0.1848,被动应付型,"【综合画像：被动应付型】（综合学习投入度居全校前 81.5%）
诊断归因：该生综合学习投入位于全校后20%，内在驱动力呈现不足迹象。 线下晨读习惯缺失且线上任务参与度低于平均水平，存在学业边缘化风险。"
pjvyzvfj994,0.0,0,0.0,0.0,0.0,0.5352719912776354,0.2836924826769178,0.0,-0.9836503991051857,-0.4536181586933362,-0.35574545007544334,0.0,0.0,-1.437268557798522,0.1848,被动应付型,"【综合画像：被动应付型】（综合学习投入度居全校前 81.5%）
诊断归因：该生综合学习投入位于全校后20%，内在驱动力呈现不足迹象。 线下晨读习惯缺失且线上任务参与度低于平均水平，存在学业边缘化风险。"
pjvyzvfj998,0.0,0,0.0,0.0,0.0,0.5352719912776354,0.2836924826769178,0.0,-0.9836503991051857,-0.4536181586933362,-0.35574545007544334,0.0,0.0,-1.437268557798522,0.1848,被动应付型,"【综合画像：被动应付型】（综合学习投入度居全校前 81.5%）
诊断归因：该生综合学习投入位于全校后20%，内在驱动力呈现不足迹象。 线下晨读习惯缺失且线上任务参与度低于平均水平，存在学业边缘化风险。"
pjvyzxbj993,0.0,39249,0.33705357142857145,0.017857142857142856,448.0,0.5787827183841572,0.24462925162959326,0.0,-0.5631695864274411,2.0997644250979888,0.460479366082375,0.4368315841205176,-0.8942162060750914,1.0997632545500302,0.7716,普通型,"【综合画像：普通型】（综合学习投入度居全校前 22.8%）
诊断归因：该生学习投入度保持在全体学生的常态均值区间。 线上学习任务完成度还有提升空间，建议辅导员适当督促。"
pjvyzxbj995,0.0,35255,0.0,0.0,0.0,0.4449962353183171,0.3084493349220292,0.0,-0.6059579470438876,-0.4536181586933362,-0.35574545007544334,-0.9063351524060211,0.5667216432292875,-0.15324095333120258,0.52,普通型,"【综合画像：普通型】（综合学习投入度居全校前 48.0%）
诊断归因：该生学习投入度保持在全体学生的常态均值区间。 线上学习任务完成度还有提升空间，建议辅导员适当督促。"
pjvyzxbj997,0.0,14516,0.0,0.0,0.0,0.5717908654243485,0.2586930135487441,0.0,-0.8281381700845701,-0.4536181586933362,-0.35574545007544334,0.3666359701310392,-0.5722755091764993,-1.6483922989089455,0.1392,被动应付型,"【综合画像：被动应付型】（综合学习投入度居全校前 86.1%）
诊断归因：该生综合学习投入位于全校后20%，内在驱动力呈现不足迹象。 线下晨读习惯缺失且线上任务参与度低于平均水平，存在学业边缘化风险。"
pjvyzxbj998,0.0,8121,0.0,0.0,0.0,0.5384113639245888,0.2886175696976942,0.0,-0.8966488276063969,-0.4536181586933362,-0.35574545007544334,0.03151813857662986,0.11274266137823642,-1.3817851248763628,0.2144,普通型,"【综合画像：普通型】（综合学习投入度居全校前 78.6%）
诊断归因：该生学习投入度保持在全体学生的常态均值区间。 线上学习任务完成度还有提升空间，建议辅导员适当督促。"
